0,870,714,926,630
1,169,15,474,11
2,232,457,613,720
3,341,132,796,175
4,808,807,9,84
5,979,174,722,951
6,171,432,447,952
7,504,819,132,796
8,782,828,674,223
9,398,621,595,510
10,29,218,192,32
11,15,79,94,573
12,880,469,858,714
13,160,81,125,10
14,134,70,23,30
15,79,87,11,94
16,152,298,26,101
17,77,823,459,100
18,363,20,301,196
19,866,479,640,823
20,196,221,18,301
21,51,383,218,191
22,233,959,291,289
23,30,134,70,14
24,624,205,183,686
25,52,444,164,765
26,16,347,152,101
27,210,776,150,842
28,418,585,360,163
29,10,218,192,32
30,23,134,70,14
31,103,108,902,307
32,218,29,10,192
33,118,427,311,986
34,314,963,55,288
35,65,50,134,23
36,516,302,553,834
37,190,656,922,109
38,588,180,46,986
39,804,825,631,769
40,447,164,52,334
41,59,420,551,686
42,482,163,514,586
43,44,61,362,561
44,288,43,61,561
45,722,206,548,23
46,548,743,753,38
47,307,982,962,549
48,216,752,613,284
49,253,932,880,336
50,65,35,196,20
51,21,979,482,108
52,25,952,447,171
53,239,233,959,22
54,69,896,564,527
55,314,296,595,621
56,367,214,584,694
57,64,568,623,622
58,300,224,225,226
59,420,551,686,41
60,819,693,113,341
61,468,532,44,43
62,122,722,249,720
63,732,932,253,336
64,57,69,193,655
65,50,35,134,23
66,746,771,672,82
67,69,193,564,951
68,156,983,85,743
69,67,564,64,793
70,134,30,23,14
71,564,649,860,951
72,394,559,964,784
73,693,751,819,104
74,89,968,507,594
75,796,132,814,547
76,275,467,466,543
77,17,823,100,640
78,132,147,789,413
79,15,87,11,573
80,792,845,881,405
81,160,13,125,895
82,672,746,771,891
83,161,116,949,669
84,178,807,808,713
85,345,765,932,858
86,572,473,5,485
87,15,79,94,573
88,728,429,324,653
89,74,968,541,698
90,93,269,579,580
91,417,783,317,515
92,793,799,57,388
93,90,565,848,283
94,331,573,87,15
95,625,615,254,799
96,186,452,169,371
97,413,356,75,553
98,615,57,753,793
99,880,12,42,858
100,459,518,77,17
101,152,16,298,347
102,539,162,696,504
103,31,108,516,553
104,663,525,751,693
105,694,929,561,390
106,124,127,287,299
107,497,448,688,393
108,179,307,392,534
109,922,656,190,580
110,694,584,373,407
111,147,221,66,533
112,720,144,291,613
113,723,60,962,97
114,307,549,449,902
115,125,81,138,160
116,161,83,949,669
117,853,472,456,216
118,33,427,311,986
119,493,495,126,145
120,862,650,543,565
121,715,558,354,473
122,395,527,318,62
123,363,179,301,221
124,127,106,287,299
125,160,13,81,895
126,119,493,495,714
127,124,106,299,287
128,965,503,603,9
129,960,704,959,588
130,651,367,214,56
131,732,880,345,707
132,796,75,814,379
133,515,172,572,979
134,70,30,23,14
135,899,844,389,206
136,960,452,186,592
137,144,720,112,906
138,895,81,160,115
139,606,448,538,107
140,157,146,455,446
141,206,844,135,899
142,474,674,573,169
143,403,159,438,526
144,137,112,720,457
145,493,495,119,155
146,140,157,455,488
147,814,379,725,111
148,557,757,385,734
149,655,172,568,69
150,184,776,27,484
151,153,658,95,910
152,16,101,463,298
153,151,658,483,424
154,970,195,788,843
155,145,52,444,253
156,68,100,560,753
157,140,146,330,322
158,239,568,613,291
159,143,403,438,526
160,13,81,125,895
161,83,116,949,669
162,102,539,114,293
163,42,482,514,585
164,447,171,432,6
165,352,272,918,837
166,284,832,793,57
167,80,920,925,255
168,694,651,599,214
169,1,674,142,618
170,595,621,688,603
171,447,432,952,6
172,568,233,328,613
173,343,10,29,125
174,951,5,564,71
175,217,269,302,549
176,379,561,533,814
177,668,427,986,311
178,84,807,808,479
179,196,108,680,891
180,588,38,755,91
181,365,475,450,453
182,196,221,20,363
183,205,624,24,686
184,150,747,760,705
185,979,417,289,959
186,452,96,136,804
187,693,819,751,341
188,204,194,397,555
189,896,833,983,852
190,656,406,364,762
191,878,386,855,278
192,29,10,218,32
193,748,64,69,67
194,204,773,188,797
195,970,788,496,494
196,221,307,20,179
197,272,119,707,709
198,228,282,251,673
199,374,832,270,397
200,672,500,794,763
201,209,24,205,183
202,732,880,707,709
203,209,201,205,551
204,194,188,797,773
205,624,24,183,686
206,899,141,135,844
207,212,880,707,709
208,913,195,352,929
209,201,205,686,203
210,27,213,776,150
211,703,784,451,629
212,207,880,709,707
213,749,356,97,982
214,367,56,168,584
215,139,896,770,685
216,853,101,117,245
217,175,269,356,302
218,32,29,10,192
219,270,274,399,354
220,253,207,932,250
221,196,20,301,363
222,524,506,791,835
223,327,891,301,260
224,58,226,225,248
225,300,305,58,224
226,443,58,248,224
227,875,873,869,867
228,198,282,251,673
229,793,145,799,206
230,917,100,852,54
231,385,380,175,269
232,780,781,216,117
233,279,22,959,172
234,974,835,628,567
235,389,246,844,899
236,670,684,470,681
237,573,474,683,11
238,999,82,309,746
239,53,233,158,959
240,527,691,743,797
241,334,332,378,880
242,285,349,880,12
243,419,550,466,467
244,309,313,617,572
245,412,956,216,853
246,235,389,899,206
247,204,743,691,527
248,226,58,443,224
249,979,309,270,303
250,253,932,469,332
251,282,906,351,198
252,372,439,723,113
253,932,207,212,469
254,832,756,257,946
255,80,167,672,771
256,612,619,598,34
257,57,622,623,770
258,292,107,128,965
259,287,299,127,124
260,555,397,566,223
261,834,516,476,504
262,778,365,181,919
263,784,779,896,295
264,701,941,618,890
265,851,340,387,461
266,693,695,572,60
267,281,661,774,858
268,402,434,699,909
269,486,175,217,557
270,274,219,249,382
271,503,537,541,594
272,83,949,197,918
273,709,707,119,207
274,270,219,979,745
275,467,466,76,670
276,329,920,221,196
277,711,278,438,273
278,191,878,660,675
279,233,172,399,22
280,400,694,168,373
281,267,661,774,858
282,906,251,198,351
283,705,581,275,543
284,291,613,22,166
285,242,349,880,12
286,839,714,904,926
287,259,299,127,124
288,44,296,34,55
289,291,22,520,284
290,891,223,327,925
291,289,22,613,284
292,7,834,916,231
293,302,162,261,553
294,434,742,699,909
295,451,983,883,938
296,55,593,288,314
297,324,653,108,681
298,16,463,152,101
299,287,259,127,124
300,305,225,58,226
301,363,18,221,327
302,293,175,549,834
303,309,249,319,298
304,311,427,986,118
305,300,225,58,226
306,631,826,452,136
307,902,196,108,962
308,862,643,470,426
309,313,244,617,303
310,312,661,774,858
311,304,427,118,986
312,310,661,774,858
313,309,617,244,298
314,34,55,963,594
315,610,524,937,935
316,582,324,980,653
317,568,613,748,91
318,395,527,122,773
319,303,531,520,575
320,339,628,835,326
321,416,455,498,446
322,330,157,140,282
323,355,330,322,126
324,297,582,316,653
325,699,434,812,975
326,342,506,407,320
327,223,301,891,405
328,172,613,959,22
329,276,196,221,363
330,322,157,140,146
331,94,573,474,683
334,332,241,378,253
333,335,714,630,870
334,332,241,378,253
333,335,714,630,870
336,880,707,709,732
337,548,931,173,424
338,804,941,764,890
339,320,628,835,326
340,387,851,265,442
341,819,3,693,60
342,326,506,599,974
343,173,81,29,13
344,298,101,463,572
345,85,858,131,732
346,572,979,249,399
347,26,16,101,152
348,196,221,20,18
349,285,242,880,49
350,572,463,298,22
351,369,741,695,697
352,358,165,361,917
353,751,476,385,525
354,783,91,417,219
355,351,369,695,697
356,217,213,97,553
357,765,714,630,870
358,359,352,375,638
359,358,352,644,361
360,636,745,382,399
361,638,846,352,358
362,376,448,556,393
363,18,301,196,20
364,190,406,659,941
365,181,475,453,450
366,565,700,120,93
367,56,584,651,214
368,727,544,394,16
369,741,697,351,695
370,537,639,458,641
371,96,764,876,631
372,252,439,637,66
373,651,984,835,599
374,423,566,199,397
375,390,358,996,272
376,362,107,556,255
377,599,168,791,56
378,910,241,880,334
379,176,147,814,725
380,385,231,834,462
381,399,993,994,520
382,399,745,425,270
383,566,423,555,260
384,482,418,586,514
385,231,380,525,269
386,512,660,675,191
387,340,265,442,851
388,799,955,793,92
389,844,235,135,899
390,375,358,694,83
391,689,734,553,757
392,535,534,307,108
393,448,497,688,107
394,72,347,784,964
395,318,122,773,247
396,908,907,703,156
397,558,260,555,566
398,676,863,419,308
399,382,745,291,572
400,567,991,168,694
401,264,452,592,890
402,268,434,909,571
403,143,159,438,781
404,828,782,206,438
405,771,845,792,80
406,190,364,656,548
407,326,974,651,599
408,410,462,768,657
409,411,795,902,307
408,410,462,768,657
409,411,795,902,307
412,956,245,306,81
413,97,132,796,73
414,630,870,765,357
415,58,248,224,300
416,455,446,488,498
417,91,354,959,783
418,482,585,900,586
419,243,681,684,467
420,551,59,686,41
421,91,959,399,979
